TAX	SRR17301512	SRR17301513	SRR17301514	SRR17301515	SRR17301516	SRR17301517	SRR17301518	SRR17301519	SRR17301520	SRR17301521	SRR17301522	SRR17301523	SRR17301524	SRR17301525	SRR17301526	SRR17301527	SRR17301528	SRR17301529	SRR17301530	SRR17301531	SRR17301532	SRR17301533	SRR17301534	SRR17301535	SRR17301536	SRR17301537	SRR17301538	SRR17301539	SRR17301540	SRR17301541	SRR17301542	SRR17301543	SRR17301544	SRR17301545	SRR17301546	SRR17301547	SRR17301548	SRR17301549	SRR17301550	SRR17301551	SRR17301552	SRR17301553	SRR17301554	SRR17301555	SRR17301556	SRR17301557	SRR17301558	SRR17301559	SRR17301560	SRR17301561	SRR8849198	SRR8849199	SRR8849200	SRR8849201	SRR8849202	SRR8849203	SRR8849204	SRR8849205	SRR8849206	SRR8849207	SRR8849208	SRR8849209	SRR8849210	SRR8849211	SRR8849212	SRR8849213	SRR8849214	SRR8849215	SRR8849216	SRR8849217	SRR8849218	SRR8849220	SRR8849221	SRR8849222	SRR8849223	SRR8849224	SRR8849225	SRR8849226	SRR8849227	SRR8849228	SRR8849229	SRR8849230	SRR8849231	SRR8849232	SRR8849233	SRR8849234	SRR8849235	SRR8849236	SRR8849237	SRR8849238	SRR8849239	SRR8849240	SRR8849241	SRR8849242	SRR8849243	SRR8849244	SRR8849245	SRR8849246	SRR8849247	SRR8849248	SRR8849249	SRR8849250	SRR8849251	SRR8849252	SRR8849253	SRR8849254	SRR8849255	SRR8849256	SRR8849257	SRR8849258	SRR8849259	SRR8849260	SRR8849261	SRR8849262	SRR8849263	SRR8849264	SRR8849265	SRR8849266	SRR8849267	SRR8849268	SRR8849269	SRR8849270	SRR8849271	SRR8849272	SRR8849273	SRR8849274	SRR8849275	SRR8849276	SRR8849277	SRR8849278	SRR8849279	SRR8849280	SRR8849281	SRR8849282	SRR8849283	SRR8849284	SRR8849285	SRR8849286	SRR8849287	SRR8849288	SRR8849289	SRR8849290	SRR9330774	SRR9330775	SRR9330776	SRR9330777	SRR9330778	SRR9330779	SRR9330780	SRR9330782	SRR9330783	SRR9330784	SRR9330785	SRR9330786	SRR9330787	SRR9330788	SRR9330789	SRR9330790	SRR9330791	SRR9330792	SRR9330793	SRR9330794	SRR9330795	SRR9330796	SRR9330797	SRR9330798	SRR9330799	SRR9330800	SRR9330801
Roseburia_sp_BX1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0069	0.01136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00307	0.03822	0	0.00912	0	0	0	0	0	0	0	0	0.2841	0	0	0	0	0	0	0	0	0	0	0.00047	0	0.01802	0.00996	0	0	0	0	0	0	7e-05	0.04588	0	0	0	0	0.0402	0	0	7e-05	0	0	0	0	0	0.00865	0	0	0.02884	0	0.00444	0	0	0	0	0.00614	0	0	0.00254	0	0	0	0	0	0	0	0.01314	0	0	0	0	0	0.00123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_gordonii	0	0	0	0	0	0	0	0.04288	0	0	0.00106	0	0	0	0	0	0	0.12174	0	0	0	0.063	0.28311	0	0	0	0	0	0	0	0	0.00419	0	0.00443	0	0	0	0	0	0	0	0	0	0	0	0.00134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01621	0	0	0	0	0.00134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00071	0	0	0	0	0	0.00295	0.01666	0	0.022	0	0	0.00051	0	0	0	0	0.06266	0.01085	0.00507	0.07079	0	0	0	0.00063	0	0	0	0	0	0
Lachnoclostridium_pacaense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01645	0	0	0.00608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00209	0.28165	0	0	0.00552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00241	0.00055	0.01036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0.00049	0	0	0	0	0	0.26812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB87445_SGB15180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02861	0	0	0	0	0	0	0	0	0	0	0	0	0.07706	0	0	0	0	0	0.14908	0	0	0	0	0.08448	0.00032	0	0	0.02492	0	0	0	0.27996	0.00436	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0.00534	0	0	0	0	0	0	0	0	0	0	0.06967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas_micra	0	0	0	0	0	0	0	0	0	0	0	0.11208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03243	0	0.01844	0	0	0	0.0111	0	0	0	0	0.00997	0	0	0	0	0	0	0.01749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00603	0	0.00022	0	0	0	0	0.00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0.03067	0	0	0	0	0.00092	0.00806	0.00752	0	0	0	0	0	0.00136	0	0	0	0	0	0	0	0	0	0.27853	0	0	0	0	0	0	0.0096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas_paravirosa	0	0	0	0	0	0	0	0	0	0.00572	0	0	0	0	0	0.01118	0	0	0	0.0786	0	0.07766	0	0.0084	0	0	0	0	0	0	0	0	0	0	0	0.04791	0.00739	0	0	0	0	0	0	0	0	0	0	0	0.00732	0	0	0	0	0	0	0.00793	0.01081	0	0.01688	0	0.27805	0	0	0	0	0	0.02418	0.00777	0.01419	0	0	0	0	0.00099	0	0	0	0.00774	0	0.01275	0	0	0	0	0	0	0	0	0.03169	0	0	0.06354	0	0	0	0.00322	0	0	0	0	0	0	0	0	0.00965	0.00763	0	0.00843	0	0	0	0	0	0	0	0	0	0.01216	0	0	0	0	0	0	0.00579	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16319	0.09419	0	0	0	0.15918	0	0	0	0	0	0.02456	0.07476	0	0	0	0	0	0	0	0	0.27187	0
Alistipes_SGB2300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00161	0	0	0	0	0	0.27796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059	0	0	0	0	0	0	0	0	0.00465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11638	0	0	0	0	0	0	0	0	0	0	0
Lawsonibacter_SGB15145	0	0	0	0	0	0	0	0	0.00273	0	0	0	0	0.01544	0.01355	0.00758	0	0	0.01274	0	0	0.05675	0	0	0	0	0	0	0	0	0	0	0.00065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05592	0.00773	0	0	0	0.18014	0	0.03117	0	0.00192	0	0	0.00214	0	0	0	0	0	0	0.00379	0	0	0.0279	0	0.0276	0	0	0	0	0	0.14888	0	0	0.00657	0	0	0.04766	0	0	0.27413	0	0	0	0	0.04671	0	0.03631	0.00293	0	0	0	0	0.01024	0.01422	0	0.0001	0	0.00174	0	0.00094	0	0	0	0.00072	0	0	0	0	0	0.01175	0.04401	0	0	0	0.05544	0	0.03478	0	0	0.01412	0	0	0.00331	0	0.00373	0	0.0089	0.00583	0	0	0	0	0.02386	0	0	0	0.03674	0	0.07811	0	0	0	0	0	0	0	0.03106	0	0	0	0	0	0	0	0	0	0	0	0	0.0117	0
Faecalicatena_contorta	0	0	0.16828	0.01416	0.00249	0	0	0.27386	0	0	0.10612	0	0	0.00801	0.00506	0.043	0	0.0195	0	0	0	0	0.01219	0.18925	0	0.00304	0	0	0.01697	0.01474	0	0.08156	0	0	0.00333	0.04441	0	0	0.06271	0	0.08269	0.00837	0	0.01853	0	0.00366	0	0.02259	0	0	0	0.00851	0	0	0.02155	0	0	0	0.00998	0	0.00134	0	0	0.00375	0	0.00741	0.00218	0	0	0.00258	0	0	0	0	0	0	0	0.00261	0	0.00957	0	0.00019	0	0.00359	0	0.01442	0.00667	0	0.02676	0	0	0	0	0	0.00073	0	0.06074	0.12535	0	0.00076	0	0	0.00141	0	0.00114	0	0	0	0	0	0.00059	0.06962	0.00691	0	0	0	0	0	0	0	0.003	0	0	0	0.02235	0	0.00367	0.00284	0	0	0.00125	0.00127	0	0	0	0	0	0	0	0	0	0.00028	0	0	0	0	0.00187	0.00792	0	0	0	0.00129	0	0	0	0	0	0	0	0.01977	0	0	0	0.00368	0	0	0	0.00056	0
GGB1661_SGB2275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02702	0	0	0	0	0	0	0	0	0	0	0	0	0.27223	0	0	0	0	0	0	0	0	0	0
